Animal Crossing turnip prices

variables:
    ISLAND rai, yug
    YEAR 2021-?
    MONTH 1-12
    DAY 1-31
    WEEKDAY sun, mon, tue, wed, thur, fri, sat
    AMPM am, pm
    PRICE 0-?
    DIR buy, sell

load file in R with:
    data <- read_csv("turnips.csv", skip=15)

ISLAND, YEAR, MONTH, DAY, WEEKDAY, AMPM, PRICE, DIR
yug, 2021, 1, 25, mon, am, 92, sell
rai, 2021, 1, 25, mon, pm, 56, sell
yug, 2021, 1, 25, mon, pm, 87, sell
rai, 2021, 1, 26, tue, am, 51, sell
yug, 2021, 1, 26, tue, am, 83, sell
rai, 2021, 1, 26, tue, pm, 93, sell
yug, 2021, 1, 26, tue, pm, 79, sell
rai, 2021, 1, 27, wed, am, 120, sell
yug, 2021, 1, 27, wed, am, 75, sell
rai, 2021, 1, 27, wed, pm, 92, sell
yug, 2021, 1, 27, wed, pm, 71, sell
rai, 2021, 1, 28, thur, am, 103, sell
yug, 2021, 1, 28, thur, am, 66, sell
rai, 2021, 1, 28, thur, pm, 57, sell
yug, 2021, 1, 28, thur, pm, 63, sell
rai, 2021, 1, 29, fri, am, 50, sell
yug, 2021, 1, 29, fri, am, 59, sell
rai, 2021, 1, 29, fri, pm, 87, sell
yug, 2021, 1, 29, fri, pm, 56, sell
rai, 2021, 1, 30, sat, am, 95, sell
yug, 2021, 1, 30, sat, am, 51, sell
rai, 2021, 1, 30, sat, pm, 124, sell
yug, 2021, 1, 30, sat, pm, 48, sell
rai, 2021, 1, 31, sun, am, 107, buy
yug, 2021, 1, 31, sun, am, 102, buy
rai, 2021, 2, 1, mon, am, 95, sell
yug, 2021, 2, 1, mon, am, 77, sell
rai, 2021, 2, 1, mon, pm, 90, sell
yug, 2021, 2, 1, mon, pm, 74, sell
rai, 2021, 2, 2, tue, am, 85, sell
yug, 2021, 2, 2, tue, am, 71, sell
rai, 2021, 2, 2, tue, pm, 81, sell
yug, 2021, 2, 2, tue, pm, 66, sell
rai, 2021, 2, 3, wed, am, 76, sell
yug, 2021, 2, 3, wed, am, 61, sell
rai, 2021, 2, 3, wed, pm, 71, sell
yug, 2021, 2, 3, wed, pm, 56, sell
rai, 2021, 2, 4, thur, am, 67, sell
yug, 2021, 2, 4, thur, am, 122, sell
rai, 2021, 2, 4, thur, pm, 61, sell
yug, 2021, 2, 4, thur, pm, 118, sell
rai, 2021, 2, 5, fri, am, 56, sell
yug, 2021, 2, 5, fri, am, 169, sell
yug, 2021, 2, 5, fri, pm, 204, sell
rai, 2021, 2, 6, sat, am, 48, sell
yug, 2021, 2, 6, sat, am, 162, sell
rai, 2021, 2, 6, sat, pm, 43, sell
yug, 2021, 2, 6, sat, pm, 77, sell
rai, 2021, 2, 7, sun, am, 95, buy
yug, 2021, 2, 7, sun, am, 106, buy
rai, 2021, 2, 8, mon, am, 83, sell
yug, 2021, 2, 8, mon, am, 91, sell
rai, 2021, 2, 8, mon, pm, 79, sell
yug, 2021, 2, 8, mon, pm, 88, sell
rai, 2021, 2, 9, tue, am, 117, sell
yug, 2021, 2, 9, tue, am, 83, sell
rai, 2021, 2, 9, tue, pm, 140, sell
yug, 2021, 2, 9, tue, pm, 78, sell
rai, 2021, 2, 10, wed, am, 264, sell
yug, 2021, 2, 10, wed, am, 75, sell
rai, 2021, 2, 10, wed, pm, 157, sell
yug, 2021, 2, 10, wed, pm, 107, sell
rai, 2021, 2, 11, thur, am, 112, sell
yug, 2021, 2, 11, thur, am, 167, sell
rai, 2021, 2, 11, thur, pm, 78, sell
yug, 2021, 2, 11, thur, pm, 276, sell
rai, 2021, 2, 12, fri, am, 85, sell
yug, 2021, 2, 12, fri, am, 183, sell
rai, 2021, 2, 12, fri, pm, 53, sell
yug, 2021, 2, 12, fri, pm, 128, sell
rai, 2021, 2, 13, sat, am, 52, sell
yug, 2021, 2, 13, sat, am, 84, sell
rai, 2021, 2, 13, sat, pm, 73, sell
yug, 2021, 2, 13, sat, pm, 88, sell
rai, 2021, 2, 14, sun, am, 103, buy
yug, 2021, 2, 14, sun, am, 99, buy
rai, 2021, 2, 15, mon, am, 106, sell
yug, 2021, 2, 15, mon, am, 135, sell
rai, 2021, 2, 15, mon, pm, 137, sell
yug, 2021, 2, 15, mon, pm, 103, sell
rai, 2021, 2, 16, tue, am, 180, sell
yug, 2021, 2, 16, tue, am, 75, sell
rai, 2021, 2, 16, tue, pm, 196, sell
yug, 2021, 2, 16, tue, pm, 67, sell
rai, 2021, 2, 17, wed, am, 162, sell
yug, 2021, 2, 17, wed, am, 105, sell
rai, 2021, 2, 17, wed, pm, 68, sell
yug, 2021, 2, 17, wed, pm, 136, sell
rai, 2021, 2, 18, thur, am, 65, sell
yug, 2021, 2, 18, thur, am, 122, sell
rai, 2021, 2, 18, thur, pm, 61, sell
yug, 2021, 2, 18, thur, pm, 126, sell
rai, 2021, 2, 19, fri, am, 57, sell
yug, 2021, 2, 19, fri, am, 111, sell
rai, 2021, 2, 19, fri, pm, 53, sell
yug, 2021, 2, 19, fri, pm, 74, sell
rai, 2021, 2, 20, sat, am, 49, sell
yug, 2021, 2, 20, sat, am, 70, sell
rai, 2021, 2, 20, sat, pm, 45, sell
yug, 2021, 2, 20, sat, pm, 62, sell
rai, 2021, 2, 21, sun, am, 110, buy
yug, 2021, 2, 21, sun, am, 100, buy
rai, 2021, 2, 22, mon, am, 134, buy
yug, 2021, 2, 22, mon, am, 96, buy
rai, 2021, 2, 22, mon, pm, 127, buy
yug, 2021, 2, 22, mon, pm, 108, buy
rai, 2021, 2, 23, tue, am, 71, buy
yug, 2021, 2, 23, tue, am, 103, buy
rai, 2021, 2, 23, tue, pm, 63, buy
yug, 2021, 2, 23, tue, pm, 114, buy
